stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2593857,IN0001,"Avenida Cardeal Eugênio Pacelli, 1819 (Previdência Social)",,-19.9554662,-44.02464696,,,0,,,0,
2593860,RI0147,"Avenida Marte, 73 (Centro Comercial e Empresarial Jardim Riacho)",,-19.97193573,-44.05664661,,,0,,,0,
2593861,VA0002,"Alameda das Amaziles, 790",,-19.88830739,-44.10252118,,,0,,,0,
2593862,VA0252,"Alameda das Amaziles, 177",,-19.88576284,-44.10398347,,,0,,,0,
2593863,VA0197,"Alameda das Amaziles, 698",,-19.88777178,-44.10326513,,,0,,,0,
2593865,VA0003,"Alameda das Amaziles, 32",,-19.88823221,-44.10248097,,,0,,,0,
2593866,RE0001,"Alameda dos Comerciantes, 165",,-19.87527209,-44.04721943,,,0,,,0,
2593867,VA0199,"Alameda dos Jasmins, 60",,-19.88508573,-44.10337112,,,0,,,0,
2593868,RE0002,"Alameda dos Sabiás, 1163",,-19.87497436,-44.04531568,,,0,,,0,
2593869,RE0003,"Alameda dos Sabiás, 219, Cabral",,-19.88175425,-44.04047778,,,0,,,0,
2593870,RE0004,"Alameda dos Sabiás, 456",,-19.8802704,-44.04192016,,,0,,,0,
2593871,RE0005,"Alameda dos Sabiás, 567",,-19.8794917,-44.04294613,,,0,,,0,
2593872,NA0102,"Avenida Tancredo Neves, 255",,-19.84316879,-44.01902856,,,0,,,0,
2593873,RE0006,"Alameda dos Sabiás, s/n (L. O. 769), Cabral",,-19.87722009,-44.04480418,,,0,,,0,
2593874,RE0007,"Alameda dos Sabiás, 935",,-19.87700516,-44.04497441,,,0,,,0,
2593875,VA0005,"Alameda Flor de Cactos, 42 (PC)",,-19.86885762,-44.08572841,,,0,,,0,
2593878,SE0001,"Rua Adutora Várzea das Flores, 420 (L. O. COPASA)",,-19.93118234,-44.09358816,,,0,,,0,
2593882,EL0001,"Avenida Água Branca, 331",,-19.92510837,-44.03431654,,,0,,,0,
2593883,EL0002,"Avenida Água Branca, 451",,-19.9260452,-44.03451962,,,0,,,0,
2593884,EL0003,"Avenida Água Branca, 652",,-19.92738406,-44.03493942,,,0,,,0,
2593885,EL0004,"Avenida Água Branca, 647",,-19.9273141,-44.03482091,,,0,,,0,
2593886,EL0005,"Avenida Água Branca, s/n (L. O. Supermercado)",,-19.92917816,-44.03554272,,,0,,,0,
2593887,IN0003,"Avenida Alvarenga Peixoto, 218",,-19.96290766,-44.03729029,,,0,,,0,
2593888,IN0004,"Avenida Alvarenga Peixoto, 221",,-19.96289991,-44.03712516,,,0,,,0,
2593889,IN0005,"Avenida Alvarenga Peixoto, 408",,-19.96500727,-44.03758357,,,0,,,0,
2593890,IN0006,"Avenida Alvarenga Peixoto, 521",,-19.9656526,-44.03751233,,,0,,,0,
2593891,NA0001,"Avenida Antônio Francisco Lisboa, s/n (L. O. 3190)",,-19.86331447,-44.01883165,,,0,,,0,
2593892,NA0002,"Avenida Antônio Francisco Lisboa, 3190, Chácara Confisco",,-19.86315466,-44.01900841,,,0,,,0,
2593893,RE0008,"Avenida Antônio José da Rocha, 218A",,-19.88573066,-44.0328709,,,0,,,0,
2593894,RE0009,"Avenida Antônio José da Rocha, 432",,-19.88521419,-44.03069678,,,0,,,0,
2593895,RE0010,"Avenida Antônio José da Rocha, 44 (Restaurante Popular Ressaca), Guanabara",,-19.88593381,-44.03470922,,,0,,,0,
2593902,IN0008,"Avenida Babita Camargos, 1359 (Itambé Rações), Cidade Industrial",,-19.9534568,-44.02605204,,,0,,,0,
2593904,IN0009,"Avenida Babita Camargos, 1435 (Hyundai)",,-19.95052925,-44.02584714,,,0,,,0,
2593905,IN0010,"Avenida Babita Camargos, 3341 (L. O. Leroy Merlin)",,-19.94683887,-44.02556165,,,0,,,0,
2593906,IN0011,"Avenida Babita Camargos, 1920 (Leroy Merlin)",,-19.94623705,-44.02524283,,,0,,,0,
2593907,IN0012,"Avenida Babita Camargos, 265, Jardim Industrial",,-19.96044096,-44.02655557,,,0,,,0,
2593908,IN0013,"Avenida Babita Camargos, 13171 (L. O. Viação Cometa),  Jardim Industrial",,-19.95725471,-44.02631749,,,0,,,0,
2593909,IN0014,"Avenida Babita Camargos, 746 (Viação Cometa),",,-19.95724303,-44.02605678,,,0,,,0,
2593912,SE0339,Avenida Chê Guevara 220,,-19.89657509,-44.08071095,,,0,,,0,
2593914,IN0015,"Rodovia Fernão Dias (BR-381), s/n - km 478.8",,-19.96360524,-44.04208165,,,0,,,0,
2593915,IN0016,"Rodovia Fernão Dias (BR-381), s/n - km 479.2 (Toshiba)",,-19.96441707,-44.0461532,,,0,,,0,
2593916,IN0017,"Rodovia Fernão Dias (BR-381), s/n - km 479.5",,-19.96298364,-44.04930124,,,0,,,0,
2593917,IN0018,"Rodovia Fernão Dias (BR-381), 3950 - km 479.9 (Bama), Riacho das Pedras",,-19.96136387,-44.05153937,,,0,,,0,
2593918,IN0019,"Avenida Cardeal Eugênio Pacelli (BR-381), s/n",,-19.95887831,-44.03267828,,,0,,,0,
2593920,RI0001,"Rodovia Fernão Dias (BR-381), s/n - km 479.6",,-19.96240554,-44.04933142,,,0,,,0,
2593921,IN0021,"Avenida Cardeal Eugênio Pacelli, 1031 (Santander)",,-19.95288912,-44.01908951,,,0,,,0,
2593923,RI0002,"Avenida Coronel Jove Soares Nogueira, 1425",,-19.96029276,-44.04550348,,,0,,,0,
2593924,RI0003,"Avenida Coronel Jove Soares Nogueira, 312",,-19.95952028,-44.03681646,,,0,,,0,
2593925,RI0004,"Avenida Coronel Jove Soares Nogueira, 621",,-19.95992743,-44.03978317,,,0,,,0,
2593926,RI0005,"Avenida Coronel Jove Soares Nogueira, 955",,-19.96017529,-44.04335542,,,0,,,0,
2593927,RI0006,"Viaduto Avenida Centauro, s/n (L. O. Carretão Trevo)",,-19.95787154,-44.06514883,,,0,,,0,
2593928,RI0007,"Avenida Centauro, 234",,-19.96145768,-44.06402101,,,0,,,0,
2593931,IN0022,"Avenida Coronel Benjamim Guimarães, 3109",,-19.97207882,-44.03166702,,,0,,,0,
2593932,IN0023,"Avenida Coronel Benjamim Guimarães, 1706",,-19.97014341,-44.03011514,,,0,,,0,
2593933,IN0024,"Avenida Coronel Benjamim Guimarães, 1780",,-19.9687217,-44.0289871,,,0,,,0,
2593934,IN0025,"Avenida Coronel Benjamin Guimaraes, 1950",,-19.96724408,-44.0278171,,,0,,,0,
2593935,IN0026,"Avenida Coronel Benjamim Guimarães, 1963",,-19.96714442,-44.02787758,,,0,,,0,
2593936,IN0027,"Avenida Coronel Benjamim Guimarães, 286",,-19.97827187,-44.03888077,,,0,,,0,
2593937,IN0028,"Avenida Coronel Benjamim Guimarães, 50, Industrial",,-19.97963263,-44.04073169,,,0,,,0,
2593938,IN0029,"Avenida Coronel Benjamim Guimarães, 639",,-19.97665219,-44.03707535,,,0,,,0,
2593939,IN0030,"Avenida Coronel Benjamim Guimarães, 622",,-19.97628914,-44.03643935,,,0,,,0,
2593941,IN0031,"Avenida Coronel Benjamim Guimarães, 803",,-19.97513324,-44.03519634,,,0,,,0,
2593942,IN0182,"Avenida Coronel Benjamim Guimarães, 840",,-19.97482456,-44.03464031,,,0,,,0,
2593943,IN0032,"Avenida Coronel Benjamim Guimarães, 96",,-19.97942037,-44.04028855,,,0,,,0,
2593944,IN0033,"Avenida Coronel Benjamim Guimarães, 990",,-19.97414936,-44.03380688,,,0,,,0,
2593945,RI0008,"Avenida Cristal, 104",,-19.96127331,-44.05835918,,,0,,,0,
2593946,RI0009,"Avenida Cristal, 241",,-19.96160852,-44.05962171,,,0,,,0,
2593947,RI0010,"Avenida Cristal, 252",,-19.96142854,-44.05989788,,,0,,,0,
2593948,RI0011,"Avenida Cristal, 35",,-19.96138929,-44.05759245,,,0,,,0,
2593949,RI0012,"Avenida Cristal, 517, Jardim Riacho das Pedras",,-19.96196277,-44.06304214,,,0,,,0,
2593950,RI0013,"Avenida Cristal, 564",,-19.96174659,-44.0630479,,,0,,,0,
2593951,VA0006,"Rua Bartira, 880",,-19.85220861,-44.1461302,,,0,,,0,
2593952,RE0157,"Avenida das Américas, 1280",,-19.8878165,-44.04877845,,,0,,,0,
2593953,RE0012,"Avenida das Américas, 166 (Igreja Assemb. de Deus), São Sebastião",,-19.88802591,-44.05212953,,,0,,,0,
2593954,RE0013,"Avenida das Américas, s/n (L. O. n° 261 (Próximo à Churrascaria e Pizzaria Gauchinho))",,-19.88633714,-44.04028495,,,0,,,0,
2593955,RE0014,"Avenida das Américas, 25",,-19.88548784,-44.03631155,,,0,,,0,
2593956,RE0015,"Avenida das Américas, 241",,-19.8865465,-44.04025069,,,0,,,0,
2593957,RE0016,"Avenida das Américas, 34, Morro do Confisco",,-19.88533941,-44.03620622,,,0,,,0,
2593958,RE0017,"Avenida das Américas, 561",,-19.88697558,-44.04315032,,,0,,,0,
2593959,RE0018,"Avenida das Américas, 797",,-19.88733941,-44.0456211,,,0,,,0,
2593960,RE0019,"Avenida das Américas, 902",,-19.88733627,-44.04641066,,,0,,,0,
2593961,EL0008,"Avenida das Bandeiras, 277 (Praça das Bandeiras)",,-19.92850967,-44.037955,,,0,,,0,
2593962,RE0020,"Avenida das Bandeiras, 40",,-19.89409529,-44.03372297,,,0,,,0,
2593963,RE0021,"Avenida das Bandeiras, 45",,-19.89401235,-44.03397891,,,0,,,0,
2593966,EL0009,"Avenida das Nascentes, s/n (L. O. 250)",,-19.9196967,-44.05360059,,,0,,,0,
2593967,PE0001,"Avenida das Tulipas, 225",,-19.91598836,-44.12512756,,,0,,,0,
2593968,PE0165,"Avenida das Tulipas, s/n",,-19.91453358,-44.12521814,,,0,,,0,
2593969,PE0003,"Avenida das Tulipas, 838",,-19.92087048,-44.12809561,,,0,,,0,
2593970,PE0005,"Avenida das Tulipas, 841",,-19.92090122,-44.12797153,,,0,,,0,
2593972,PE0129,"Avenida Diamante, s/n",,-19.92378432,-44.1309201,,,0,,,0,
2593973,PE0007,"Rua Jatobá, nº537 (PC)",,-19.92537422,-44.13576141,,,0,,,0,
2593974,PE0006,"Avenida Diamante, 281",,-19.92102243,-44.129799,,,0,,,0,
2593975,EL0010,"Avenida Dois, 146",,-19.93024853,-44.02604415,,,0,,,0,
2593980,VA0008,"Avenida dos Teclados, 126",,-19.89361651,-44.12331793,,,0,,,0,
2593981,VA0009,"Rua dos Teclados, s/n (L. O. 527)",,-19.89570275,-44.12462154,,,0,,,0,
2593982,VA0011,"Avenida dos Trompetes, s/n",,-19.90332071,-44.11530066,,,0,,,0,
2593983,VA0245,"Avenida dos Trompetes, 12",,-19.89999044,-44.11716217,,,0,,,0,
2593984,PE0009,"Avenida dos Trompetes, s/n (L. O. 1)",,-19.90331837,-44.11548793,,,0,,,0,
2593985,VA0244,"Avenida dos Trompetes, 327, Estâncias Imperiais",,-19.90003269,-44.11703012,,,0,,,0,
2593986,VA0010,"Avenida dos Trompetes, s/n (nº86 L.O), Estâncias Imperiais",,-19.89733382,-44.11819801,,,0,,,0,
2593989,IN0034,"Avenida Doutor Antonio Chagas Diniz, 1033",,-19.95321874,-44.03066189,,,0,,,0,
2593991,IN0035,"Avenida Doutor Antonio Chagas Diniz, 1295",,-19.95196767,-44.03264975,,,0,,,0,
2593992,IN0036,"Avenida Doutor Antonio Chagas Diniz, 2250",,-19.95447511,-44.02832003,,,0,,,0,
2593993,EL0013,"Avenida Doutor Cincinato Cajado Braga, 225 (Quadra de Futebol)",,-19.9353933,-44.05266473,,,0,,,0,
2593994,EL0014,"Avenida Doutor Cincinato Cajado Braga, 238 (L. O. Quadra de Futebol)",,-19.93548297,-44.05254793,,,0,,,0,
2593995,EL0015,"Avenida Doutor Cincinato Cajado Braga, 451 (Pç Nossa Sr.ª da Conceição)",,-19.93345119,-44.05298624,,,0,,,0,
2593996,EL0016,"Avenida Doutor Cincinato Cajado Braga, 456 (Pç Nossa Sr.ª da Conceição)",,-19.93333028,-44.05286913,,,0,,,0,
2593998,SE0004,"Avenida Dúlce Geralda Diniz, 11",,-19.89000041,-44.0864785,,,0,,,0,
2593999,SE0005,"Avenida Dúlce Geralda Diniz, próximo 11",,-19.89011895,-44.08655226,,,0,,,0,
2594000,SE0006,"Avenida Dúlce Geralda Diniz, 456",,-19.88619366,-44.08746445,,,0,,,0,
2594001,VA0012,"Rua Vicente Ribeiro de Paula, 293",,-19.88252314,-44.08504498,,,0,,,0,
2594002,SE0007,"Avenida Dúlce Geralda Diniz, próximo 620",,-19.88774502,-44.08750958,,,0,,,0,
2594003,PE0112,"Avenida Tropical, 789",,-19.91746535,-44.11919109,,,0,,,0,
2594004,PE0010,"Avenida Durval Alves de Faria, 1941",,-19.91904909,-44.11767661,,,0,,,0,
2594005,PE0011,"Avenida Durval Alves de Faria, s/n",,-19.92191967,-44.11778425,,,0,,,0,
2594006,PE0012,"Avenida Durval Alves de Faria, 2114",,-19.92193894,-44.11762859,,,0,,,0,
2594007,PE0013,"Avenida Durval Alves de Faria, 196 (PC)",,-19.92304711,-44.1168169,,,0,,,0,
